"species","tissueType","cellName","markerNames","markerEnsemblIDs","markerHgncIDs"
"human","Adipose tissue","Endothelial cell","CD31 VWF CD34 CD105 ABCG2 CD133 CD146 CD271 CD45","ENSG00000261371 ENSG00000110799 ENSG00000174059 ENSG00000106991 ENSG00000118777 ENSG00000007062 ENSG00000076706 ENSG00000064300 ENSG00000262418 ENSG00000081237","HGNC:8823 HGNC:12726 HGNC:1662 HGNC:3349 HGNC:74 HGNC:9454 HGNC:6934 HGNC:7809 HGNC:9666"
"human","Adipose tissue","Endothelial progenitor cell","CD34","ENSG00000174059","HGNC:1662"
"human","Adipose tissue","Fat cell (adipocyte)","CD137 ACRP30 ADIPOR1 ADIPOR2 CIDEA CHC22 DLK2 FABP4 FATP1 FATP2 FATP4 FATP5 FATP6 gACRP30 Galectin-12 GLUT4 Leptin Perilipin-2 PGC-1-alpha PPARgamma DLK1 BSCL2 UCP1 VSTM2A VSTM2B ZIC1","ENSG00000049249 ENSG00000159346 ENSG00000285070 ENSG00000006831 ENSG00000176194 ENSG00000171462 ENSG00000170323 ENSG00000185559 ENSG00000168000 ENSG00000109424 ENSG00000170419 ENSG00000187135 ENSG00000152977","HGNC:11924 HGNC:24040 HGNC:24041 HGNC:1976 HGNC:21113 HGNC:3559 HGNC:2907 HGNC:15832 HGNC:12517 HGNC:28499 HGNC:33595 HGNC:12872"
"human","Adipose tissue","Macrophage","CD14 CD206 CD45 CD16 CD32 CD68","ENSG00000170458 ENSG00000260314 ENSG00000262418 ENSG00000081237 ENSG00000203747 ENSG00000162747 ENSG00000143226 ENSG00000072694 ENSG00000129226","HGNC:1628 HGNC:7228 HGNC:9666 HGNC:3619 HGNC:3620 HGNC:3616 HGNC:3618 HGNC:1693"
"human","Adipose tissue","Mesenchymal progenitor cell","CD146","ENSG00000076706","HGNC:6934"
"human","Adipose tissue","Mesenchymal stem cell","CD31 CD34 CD44 CD45 CD73 CD90 CD105 CD14 CD29 NANOG OCT4 SSEA-4 TRA-1-60 TRA-1-81 SOX2 CD70 STRO-1 CD10 CD106 CD117 CD120a CD13 CD140b CD166 CD19 CD271 CD340 CD49d CD49e CD51 CD56 CD71 Ly6A/E","ENSG00000261371 ENSG00000174059 ENSG00000026508 ENSG00000262418 ENSG00000081237 ENSG00000135318 ENSG00000154096 ENSG00000106991 ENSG00000170458 ENSG00000150093 ENSG00000111704 ENSG00000181449 ENSG00000125726 ENSG00000196549 ENSG00000162692 ENSG00000157404 ENSG00000067182 ENSG00000166825 ENSG00000113721 ENSG00000170017 ENSG00000177455 ENSG00000064300 ENSG00000141736 ENSG00000115232 ENSG00000161638 ENSG00000138448 ENSG00000149294 ENSG00000072274","HGNC:8823 HGNC:1662 HGNC:1681 HGNC:9666 HGNC:8021 HGNC:11801 HGNC:3349 HGNC:1628 HGNC:6153 HGNC:20857 HGNC:11195 HGNC:11937 HGNC:7154 HGNC:12663 HGNC:6342 HGNC:11916 HGNC:500 HGNC:8804 HGNC:400 HGNC:1633 HGNC:7809 HGNC:3430 HGNC:6140 HGNC:6141 HGNC:6150 HGNC:7656 HGNC:11763"
"human","Adipose tissue","Mesenchymal stromal cell","CD105 CD44 CD73 CD90 CD271 CD34 MSCA-1 SUSD2","ENSG00000106991 ENSG00000026508 ENSG00000135318 ENSG00000154096 ENSG00000064300 ENSG00000174059 ENSG00000099994","HGNC:3349 HGNC:1681 HGNC:8021 HGNC:11801 HGNC:7809 HGNC:1662 HGNC:30667"
"human","Adipose tissue","Multipotent mesenchymal stroma cell","CD105 CD34 CD45 CD73 CD90","ENSG00000106991 ENSG00000174059 ENSG00000262418 ENSG00000081237 ENSG00000135318 ENSG00000154096","HGNC:3349 HGNC:1662 HGNC:9666 HGNC:8021 HGNC:11801"
"human","Adipose tissue","Natural killer cell","CD158 CD16 CD314 CD56 CD94 FASL NKP46","ENSG00000203747 ENSG00000162747 ENSG00000213809 ENSG00000149294 ENSG00000134539 ENSG00000277334 ENSG00000276450 ENSG00000275521 ENSG00000278025 ENSG00000277442 ENSG00000275637 ENSG00000278362 ENSG00000273535 ENSG00000275156 ENSG00000189430","HGNC:3619 HGNC:3620 HGNC:18788 HGNC:7656 HGNC:6378 HGNC:6731"
"human","Adipose tissue","Neuron","MAP2 NeuN Synapsin Tuj1","ENSG00000078018","HGNC:6839"
"human","Adipose tissue","Pericyte","CD146 NG2 CD105 CD271 CD31 CD34 CD45","ENSG00000076706 ENSG00000106991 ENSG00000064300 ENSG00000261371 ENSG00000174059 ENSG00000262418 ENSG00000081237","HGNC:6934 HGNC:3349 HGNC:7809 HGNC:8823 HGNC:1662 HGNC:9666"
"human","Adipose tissue","Preadipocyte","CD31 CD36","ENSG00000261371 ENSG00000135218","HGNC:8823 HGNC:1663"
"human","Adipose tissue","Preadipocyte progenitor cell","CD34 PDGFR-alpha","ENSG00000174059","HGNC:1662"
"human","Adipose tissue","Smooth muscle cell","CD146 CD31","ENSG00000076706 ENSG00000261371","HGNC:6934 HGNC:8823"
"human","Adipose tissue","Stem cell","CD105 CD29 CD34 CD73 CD90 CD31 CD45 CD44 ABCG2 P63","ENSG00000106991 ENSG00000150093 ENSG00000174059 ENSG00000135318 ENSG00000154096 ENSG00000261371 ENSG00000262418 ENSG00000081237 ENSG00000026508 ENSG00000118777","HGNC:3349 HGNC:6153 HGNC:1662 HGNC:8021 HGNC:11801 HGNC:8823 HGNC:9666 HGNC:1681 HGNC:74"
"human","Adipose tissue","Stromal cell","GREM1 CD105 CD44 CD73 CD90","ENSG00000276886 ENSG00000282046 ENSG00000166923 ENSG00000106991 ENSG00000026508 ENSG00000135318 ENSG00000154096","HGNC:2001 HGNC:3349 HGNC:1681 HGNC:8021 HGNC:11801"
"human","Adipose tissue","Stromal vascular fraction cell","CD34","ENSG00000174059","HGNC:1662"
"human","Adrenal gland","Chromaffin cell","CD56","ENSG00000149294","HGNC:7656"
"human","Adrenal gland","Definitive zone cell","CD56","ENSG00000149294","HGNC:7656"
"human","Adventitia","Multipotent stem cell","CD34 CD44 CD45 CD73 CD90","ENSG00000174059 ENSG00000026508 ENSG00000262418 ENSG00000081237 ENSG00000135318 ENSG00000154096","HGNC:1662 HGNC:1681 HGNC:9666 HGNC:8021 HGNC:11801"
"human","Airway epithelium","Basal cell","CD151","ENSG00000177697","HGNC:1630"
"human","Airway epithelium","Epithelial cell","CD103 CD106 CD126 CD13 CD130 CD141 CD1d CD24 CD324 iNOS","ENSG00000083457 ENSG00000162692 ENSG00000160712 ENSG00000166825 ENSG00000134352 ENSG00000178726 ENSG00000272398 ENSG00000039068","HGNC:6147 HGNC:12663 HGNC:6019 HGNC:500 HGNC:6021 HGNC:11784 HGNC:1645 HGNC:1748"
"human","Alveolus","Macrophage","CR3 HLA-DR","",""
"human","Amniotic fluid","Amniotic fluid stem cell","CD44 CD105 CD73 CD90","ENSG00000026508 ENSG00000106991 ENSG00000135318 ENSG00000154096","HGNC:1681 HGNC:3349 HGNC:8021 HGNC:11801"
"human","Amniotic fluid","Mesenchymal stem cell","CD44","ENSG00000026508","HGNC:1681"
"human","Amniotic fluid","Stem cell","VEGFR-1 VEGFR-2 CD117 CD105 CD166 CD73 CD90 HLA-ABC CD13 CD29 CD44 OCT4","ENSG00000157404 ENSG00000106991 ENSG00000170017 ENSG00000135318 ENSG00000154096 ENSG00000166825 ENSG00000150093 ENSG00000026508","HGNC:6342 HGNC:3349 HGNC:400 HGNC:8021 HGNC:11801 HGNC:500 HGNC:6153 HGNC:1681"
"human","Amniotic membrane","Amnion epithelial cell","NANOG OCT3/4","ENSG00000111704","HGNC:20857"
"human","Amniotic membrane","Epithelial cell","Cytokeratin E-cadherin","",""
"human","Amniotic membrane","Mesenchymal stem cell","CD105 CD44 CD73 CD34 CD45","ENSG00000106991 ENSG00000026508 ENSG00000135318 ENSG00000174059 ENSG00000262418 ENSG00000081237","HGNC:3349 HGNC:1681 HGNC:8021 HGNC:1662 HGNC:9666"
"human","Amniotic membrane","Mesenchymal stromal cell","CD105 CD166 CD73 CD90","ENSG00000106991 ENSG00000170017 ENSG00000135318 ENSG00000154096","HGNC:3349 HGNC:400 HGNC:8021 HGNC:11801"
"human","Amniotic membrane","Stem cell","P63 ABCG2 Vimentin","ENSG00000118777","HGNC:74"
"human","Amniotic membrane","Stromal cell","Vimentin","",""
"human","Antecubital vein","Endothelial cell","CD105 CD11b CD146 CD34 CD45","ENSG00000106991 ENSG00000169896 ENSG00000076706 ENSG00000174059 ENSG00000262418 ENSG00000081237","HGNC:3349 HGNC:6149 HGNC:6934 HGNC:1662 HGNC:9666"
"human","Anterior cruciate ligament","Mesenchymal stem cell","CD105 CD29 CD44 CD90","ENSG00000106991 ENSG00000150093 ENSG00000026508 ENSG00000154096","HGNC:3349 HGNC:6153 HGNC:1681 HGNC:11801"
"human","Artery","Macrophage","CD68","ENSG00000129226","HGNC:1693"
"human","Artery","T cell","CD3 CD25 CD4 CD8 CD3D CD3E CD3G CD3H CD3Q CD3Z","ENSG00000134460 ENSG00000010610 ENSG00000153563 ENSG00000167286 ENSG00000160654 ENSG00000198821","HGNC:6008 HGNC:1678 HGNC:1706 HGNC:1673 HGNC:1674 HGNC:1675 HGNC:1677"
"human","Ascites","Natural killer cell","CD56 CD16 CD3 CD3D CD3E CD3G CD3H CD3Q CD3Z","ENSG00000149294 ENSG00000203747 ENSG00000162747 ENSG00000167286 ENSG00000160654 ENSG00000198821","HGNC:7656 HGNC:3619 HGNC:3620 HGNC:1673 HGNC:1674 HGNC:1675 HGNC:1677"
"human","Ascites","Regulatory T (Treg) cell","CD25 CD4 FOXP3","ENSG00000134460 ENSG00000010610 ENSG00000049768","HGNC:6008 HGNC:1678 HGNC:6106"
"human","Ascites","T cell","CD4 CD8","ENSG00000010610 ENSG00000153563","HGNC:1678 HGNC:1706"
"human","Bladder","Cancer stem cell","CD44v6 EMA SOX2 CD133 OCT4 ALDH1 CD24 CD44 CD47 CK20 CK5","ENSG00000185499 ENSG00000181449 ENSG00000007062 ENSG00000272398 ENSG00000026508 ENSG00000196776","HGNC:7508 HGNC:11195 HGNC:9454 HGNC:1645 HGNC:1681 HGNC:1682"
"human","Bladder","Endothelial cell","CD34","ENSG00000174059","HGNC:1662"
"human","Bladder","Epithelial cell","EMA","ENSG00000185499","HGNC:7508"
"human","Bladder","Interstitial cell","N-cadherin","",""
"human","Bladder","Urothelium cell","UGP85","",""
"human","Blood","Activated CD4+ T cell","CD25 CD29 CD4 CD71 CCR6 CD14 CD19 CD38 CD45RA CD45RO CD69 CXCR3","ENSG00000134460 ENSG00000150093 ENSG00000010610 ENSG00000072274 ENSG00000112486 ENSG00000170458 ENSG00000177455 ENSG00000004468 ENSG00000110848 ENSG00000186810","HGNC:6008 HGNC:6153 HGNC:1678 HGNC:11763 HGNC:1607 HGNC:1628 HGNC:1633 HGNC:1667 HGNC:1694 HGNC:4540"
"human","Blood","Angiogenic T cell","CD3 CD31 CXCR4 CD3D CD3E CD3G CD3H CD3Q CD3Z","ENSG00000261371 ENSG00000121966 ENSG00000167286 ENSG00000160654 ENSG00000198821","HGNC:8823 HGNC:2561 HGNC:1673 HGNC:1674 HGNC:1675 HGNC:1677"
"human","Blood","AXL+SIGLEC6+ dendritic cell","ACPP ADAM33 AK125727 ALDH2 APEX1 ARHGAP18 ATF5 ATP2B4 AXL BAIAP2 BHLHE40 BIN1 C5ORF25 CCND3 CD22 CD300LB CD300LG CD5 CD72 CDH1 CDKN1A CEP95 COQ7 CTSW CX3CR1 CXCR2 DAB2 DPYSL2 ENTPD7 FAM105A FAM129A GGTA1P GNAQ GPR146 HIP1 IRF4 KLF12 KLF4 LAX1 LGMN LTK MECR MED12L MGLL MRPS6 MYH11 MYO1E NDRG1 PIM2 PLA2G16 PLAC8 PPP1R14A PTGDS RAD1 RBL1 RNASEL RNF141 RUNX2 S100A10 SCN9A SEPT6' SIGLEC1 SIGLEC6 SLC20A1 SLC35C2 SLC41A2 SLC4A3 SNRNP25 SOX4 SP4 STAG3L4 STX18 SUCLA2 SUSD1 TBC1D9 THBD TNFSF12 TNNI2 TSEN54 TXN UPK3A USF2 VASH1 ZEB1 ZNF789","ENSG00000149451 ENSG00000111275 ENSG00000100823 ENSG00000146376 ENSG00000169136 ENSG00000058668 ENSG00000167601 ENSG00000175866 ENSG00000134107 ENSG00000136717 ENSG00000112576 ENSG00000012124 ENSG00000178789 ENSG00000161649 ENSG00000110448 ENSG00000137101 ENSG00000039068 ENSG00000124762 ENSG00000258890 ENSG00000167186 ENSG00000172543 ENSG00000168329 ENSG00000180871 ENSG00000153071 ENSG00000092964 ENSG00000198018 ENSG00000156052 ENSG00000164849 ENSG00000127946 ENSG00000137265 ENSG00000118922 ENSG00000136826 ENSG00000122188 ENSG00000100600 ENSG00000062524 ENSG00000116353 ENSG00000144893 ENSG00000074416 ENSG00000243927 ENSG00000276480 ENSG00000133392 ENSG00000157483 ENSG00000104419 ENSG00000102096 ENSG00000145287 ENSG00000167641 ENSG00000107317 ENSG00000113456 ENSG00000080839 ENSG00000135828 ENSG00000110315 ENSG00000124813 ENSG00000197747 ENSG00000169432 ENSG00000088827 ENSG00000105492 ENSG00000144136 ENSG00000080189 ENSG00000136052 ENSG00000114923 ENSG00000161981 ENSG00000124766 ENSG00000105866 ENSG00000106610 ENSG00000291153 ENSG00000168818 ENSG00000136143 ENSG00000106868 ENSG00000109436 ENSG00000178726 ENSG00000239697 ENSG00000288219 ENSG00000130598 ENSG00000182173 ENSG00000136810 ENSG00000100373 ENSG00000105698 ENSG00000071246 ENSG00000148516 ENSG00000198556","HGNC:15478 HGNC:404 HGNC:587 HGNC:21035 HGNC:790 HGNC:817 HGNC:905 HGNC:947 HGNC:1046 HGNC:1052 HGNC:1585 HGNC:1643 HGNC:30811 HGNC:30455 HGNC:1685 HGNC:1696 HGNC:1748 HGNC:1784 HGNC:25141 HGNC:2244 HGNC:2546 HGNC:2558 HGNC:6027 HGNC:2662 HGNC:3014 HGNC:19745 HGNC:4390 HGNC:21718 HGNC:4913 HGNC:6119 HGNC:6346 HGNC:6348 HGNC:26005 HGNC:9472 HGNC:6721 HGNC:19691 HGNC:16050 HGNC:17038 HGNC:14051 HGNC:7569 HGNC:7599 HGNC:7679 HGNC:8987 HGNC:19254 HGNC:14871 HGNC:9592 HGNC:9806 HGNC:9893 HGNC:10050 HGNC:21159 HGNC:10472 HGNC:10487 HGNC:10597 HGNC:11127 HGNC:10875 HGNC:10946 HGNC:17117 HGNC:31045 HGNC:11029 HGNC:14161 HGNC:11200 HGNC:11209 HGNC:33887  HGNC:15942 HGNC:11448 HGNC:25413 HGNC:21710 HGNC:11784 HGNC:11927 HGNC:11946 HGNC:27561 HGNC:12435 HGNC:12580 HGNC:12594 HGNC:19964 HGNC:11642 HGNC:27801"
"human","Blood","B cell","AID CD10 CD257 CD28 CD38 CD71 CD86 CD20 CD19 FMC7","ENSG00000196549 ENSG00000102524 ENSG00000178562 ENSG00000004468 ENSG00000072274 ENSG00000114013 ENSG00000156738 ENSG00000177455","HGNC:7154 HGNC:11929 HGNC:1653 HGNC:1667 HGNC:11763 HGNC:1705 HGNC:7315 HGNC:1633"
"human","Blood","Basophil","CD123 BSP1 CD203c CD63 CCR3 HLA-DR CD19 CD22","ENSG00000185291 ENSG00000154269 ENSG00000135404 ENSG00000183625 ENSG00000177455 ENSG00000012124","HGNC:6012 HGNC:3358 HGNC:1692 HGNC:1604 HGNC:1633 HGNC:1643"
"human","Blood","Cancer cell","PSMA EpCAM HLA-ABC HER2 PSA CD24 CD44 CD45 Integrin beta-1 uPAR CD20 CDH1 Keratins MUC1 EPCAM FOLH1 KLK3 KRT8 KRT18 KRT19 CK18","ENSG00000141736 ENSG00000272398 ENSG00000026508 ENSG00000262418 ENSG00000081237 ENSG00000156738 ENSG00000039068 ENSG00000185499 ENSG00000119888 ENSG00000086205 ENSG00000142515 ENSG00000170421 ENSG00000111057 ENSG00000171345","HGNC:3430 HGNC:1645 HGNC:1681 HGNC:9666 HGNC:7315 HGNC:1748 HGNC:7508 HGNC:11529 HGNC:3788 HGNC:6364 HGNC:6446 HGNC:6430 HGNC:6436"
"human","Blood","Cancer stem cell","CD44 N-cadherin TIE-2 EpCAM c-Myc CD133 Nestin DCLK1","ENSG00000026508 ENSG00000120156 ENSG00000007062 ENSG00000133083","HGNC:1681 HGNC:11724 HGNC:9454 HGNC:2700"
"human","Blood","CD14+ endothelial progenitor cell","CD14 KDR","ENSG00000170458 ENSG00000128052","HGNC:1628 HGNC:6307"
"human","Blood","CD14++CD16- monocyte","CD14 CD16","ENSG00000170458 ENSG00000203747 ENSG00000162747","HGNC:1628 HGNC:3619 HGNC:3620"
"human","Blood","CD14+CD16+ monocyte","CD14 CD16","ENSG00000170458 ENSG00000203747 ENSG00000162747","HGNC:1628 HGNC:3619 HGNC:3620"
"human","Blood","CD141+CLEC9A+ dendritic cell","ACSS2 ACTN1 ADAM28 ANPEP APOL1 APOL3 ASAP1 ASB2 AX747832 B3GNT7 BATF3 BCL6 BTLA C1ORF21 C1ORF54 CADM1 CAMK2D CCND1 CD38 CD40 CD59 CD93 CLEC9A CLNK CPNE3 CPVL CSRP1 CTTNBP2NL CYB5R3 CYP2E1 DENND1B DHRS3 DNASE1L3 DPP4 DSE DST DUSP10 DUSP2 EHD4 ELOVL5 ENPP1 FAM135A FAM160A2 FAM190A FCRL6 FLT3 FNBP1 FUCA1 GCET2 GSTM4 GYPC HAVCR2 HLA-DOB HLA-DPA1 HLA-DPB1 HLA-DPB2 HLA-DQB HLA-DQB1 ID2 IDO1 IDO2 INF2 KCNK6 KIAA1598 KIF16B LACC1 LGALS2 LIMA1 LMNA LOC541471 LOC645638 LRRC18 MTERFD3 NAV1 NCALD NDRG2 NET1 OSBPL3 PAFAH1B3 PALM2 PDE4DIP PDLIM1 PDLIM7 PIK3CB PLCD1 PPA1 PPM1H PPM1M PQLC2 PRELID2 PTK2 RAB11FIP4 RGS10 SCARF1 SLAMF7 SLAMF8 SLC24A4 SLC9A9 SNX22 SNX3 STX3 TGM2 THBD TLR10 TMEM14A TRERF1 VAC14 VAV3 WDFY4 WHAMMP3 XCR1 ZNF366","ENSG00000131069 ENSG00000072110 ENSG00000042980 ENSG00000166825 ENSG00000100342 ENSG00000128284 ENSG00000153317 ENSG00000278693 ENSG00000100628 ENSG00000156966 ENSG00000123685 ENSG00000113916 ENSG00000186265 ENSG00000182985 ENSG00000145349 ENSG00000110092 ENSG00000004468 ENSG00000101017 ENSG00000085063 ENSG00000125810 ENSG00000197992 ENSG00000109684 ENSG00000085719 ENSG00000106066 ENSG00000159176 ENSG00000143079 ENSG00000100243 ENSG00000130649 ENSG00000213047 ENSG00000162496 ENSG00000163687 ENSG00000197635 ENSG00000111817 ENSG00000151914 ENSG00000143507 ENSG00000158050 ENSG00000103966 ENSG00000012660 ENSG00000197594 ENSG00000082269 ENSG00000181036 ENSG00000122025 ENSG00000187239 ENSG00000179163 ENSG00000168765 ENSG00000136732 ENSG00000135077 ENSG00000243612 ENSG00000241910 ENSG00000243496 ENSG00000241386 ENSG00000239457 ENSG00000241106 ENSG00000228163 ENSG00000235844 ENSG00000229685 ENSG00000206291 ENSG00000236177 ENSG00000224103 ENSG00000168384 ENSG00000231389 ENSG00000236693 ENSG00000230708 ENSG00000226826 ENSG00000229295 ENSG00000215048 ENSG00000230763 ENSG00000237710 ENSG00000223865 ENSG00000226071 ENSG00000225429 ENSG00000233584 ENSG00000168379 ENSG00000223372 ENSG00000225132 ENSG00000234834 ENSG00000224557 ENSG00000206237 ENSG00000231939 ENSG00000231286 ENSG00000225824 ENSG00000233209 ENSG00000206302 ENSG00000179344 ENSG00000115738 ENSG00000131203 ENSG00000188676 ENSG00000203485 ENSG00000099337 ENSG00000089177 ENSG00000179630 ENSG00000100079 ENSG00000050405 ENSG00000160789 ENSG00000165383 ENSG00000134369 ENSG00000104490 ENSG00000165795 ENSG00000173848 ENSG00000070882 ENSG00000079462 ENSG00000178104 ENSG00000107438 ENSG00000196923 ENSG00000051382 ENSG00000187091 ENSG00000180817 ENSG00000111110 ENSG00000164088 ENSG00000186314 ENSG00000169398 ENSG00000131242 ENSG00000148908 ENSG00000276336 ENSG00000074660 ENSG00000026751 ENSG00000158714 ENSG00000140090 ENSG00000181804 ENSG00000157734 ENSG00000112335 ENSG00000166900 ENSG00000198959 ENSG00000178726 ENSG00000174123 ENSG00000096092 ENSG00000124496 ENSG00000103043 ENSG00000134215 ENSG00000128815 ENSG00000276141 ENSG00000173578 ENSG00000178175","HGNC:15814 HGNC:163 HGNC:206 HGNC:500 HGNC:618 HGNC:14868 HGNC:2720 HGNC:16012 HGNC:18811 HGNC:28915 HGNC:1001 HGNC:21087 HGNC:5951 HGNC:1462 HGNC:1582 HGNC:1667 HGNC:11919 HGNC:1689 HGNC:15855 HGNC:26705 HGNC:17438 HGNC:2316 HGNC:14399 HGNC:2469 HGNC:25330 HGNC:2873 HGNC:2631 HGNC:28404 HGNC:17693 HGNC:2959 HGNC:3009 HGNC:21144 HGNC:1090 HGNC:3065 HGNC:3068 HGNC:3245 HGNC:21308 HGNC:3356 HGNC:21084 HGNC:31910 HGNC:3765 HGNC:17069 HGNC:4006 HGNC:4636 HGNC:4704 HGNC:18437 HGNC:4937 HGNC:4938 HGNC:4940 HGNC:4941 HGNC:4944 HGNC:5361 HGNC:6059 HGNC:27269 HGNC:23791 HGNC:6281 HGNC:15869 HGNC:26789 HGNC:6562 HGNC:24636 HGNC:6636 HGNC:23199 HGNC:15989 HGNC:7655 HGNC:14460 HGNC:14592 HGNC:16370 HGNC:8576 HGNC:15580 HGNC:2067 HGNC:22958 HGNC:8976 HGNC:9060 HGNC:9226 HGNC:18583 HGNC:26506 HGNC:28306 HGNC:9611 HGNC:30267 HGNC:9992 HGNC:16820 HGNC:21394 HGNC:21391 HGNC:10978 HGNC:20653 HGNC:16315 HGNC:11174 HGNC:11438 HGNC:11778 HGNC:11784 HGNC:15634 HGNC:21076 HGNC:18273 HGNC:25507 HGNC:12659 HGNC:29323 HGNC:27892 HGNC:1625 HGNC:18316"
